epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,49,,0.5620392560958862,,
0,99,,0.521371066570282,,
0,142,,,0.7720386981964111,0.5438913106918335
0,142,0.6012579798698425,,,
1,149,,0.5614500641822815,,
1,199,,0.6197490096092224,,
1,249,,0.5585853457450867,,
1,285,,,0.7749929428100586,0.5385121703147888
1,285,0.5360586047172546,,,
2,299,,0.5422726273536682,,
2,349,,0.5241400003433228,,
2,399,,0.49563172459602356,,
2,428,,,0.7828009724617004,0.5484768152236938
2,428,0.5118357539176941,,,
3,449,,0.506777286529541,,
3,499,,0.4788160026073456,,
3,549,,0.48526063561439514,,
3,571,,,0.7854703664779663,0.5333554148674011
3,571,0.4827319085597992,,,
4,599,,0.49298620223999023,,
4,649,,0.42137017846107483,,
4,699,,0.43599122762680054,,
4,714,,,0.7864819765090942,0.5319120287895203
4,714,0.440056711435318,,,
5,749,,0.41959527134895325,,
5,799,,0.4363235831260681,,
5,849,,0.464750200510025,,
5,857,,,0.7956545948982239,0.5428475737571716
5,857,0.4088977873325348,,,
6,899,,0.286631315946579,,
6,949,,0.3982282280921936,,
6,999,,0.4384692907333374,,
6,1000,,,0.785757303237915,0.5567213892936707
6,1000,0.38126716017723083,,,
7,1049,,0.4229263663291931,,
7,1099,,0.388582706451416,,
7,1143,,,0.7878920435905457,0.602270245552063
7,1143,0.36078518629074097,,,
8,1149,,0.39086058735847473,,
8,1199,,0.2928871512413025,,
8,1249,,0.27809327840805054,,
8,1286,,,0.7837609648704529,0.6185822486877441
8,1286,0.3273555040359497,,,
9,1299,,0.13362357020378113,,
9,1349,,0.281771183013916,,
9,1399,,0.30631178617477417,,
9,1429,,,0.7847725749015808,0.68220055103302
9,1429,0.3030926585197449,,,
10,1449,,0.3626350462436676,,
10,1499,,0.1657952070236206,,
10,1549,,0.3099432587623596,,
10,1572,,,0.7761738896369934,0.6791004538536072
10,1572,0.27472689747810364,,,
11,1599,,0.25859344005584717,,
11,1649,,0.24354130029678345,,
11,1699,,0.23601186275482178,,
11,1715,,,0.7738038301467896,0.8304336071014404
11,1715,0.2541750967502594,,,
12,1749,,0.1965990662574768,,
12,1799,,0.28003227710723877,,
12,1849,,0.2924591302871704,,
12,1858,,,0.766158938407898,0.8970229029655457
12,1858,0.23505057394504547,,,
13,1899,,0.19090896844863892,,
13,1949,,0.2437104880809784,,
13,1999,,0.15241138637065887,,
13,2001,,,0.7715679407119751,0.9571456909179688
13,2001,0.22407253086566925,,,
14,2049,,0.18669047951698303,,
14,2099,,0.21360847353935242,,
14,2144,,,0.7685475945472717,1.0369315147399902
14,2144,0.2128153294324875,,,
15,2149,,0.16034097969532013,,
15,2199,,0.2257077693939209,,
15,2249,,0.1830318421125412,,
15,2287,,,0.7708804607391357,1.084023356437683
15,2287,0.20435835421085358,,,
16,2299,,0.19208648800849915,,
16,2349,,0.18838077783584595,,
16,2399,,0.2037908136844635,,
16,2430,,,0.7616995573043823,1.2246546745300293
16,2430,0.19604742527008057,,,
17,2449,,0.20588338375091553,,
17,2499,,0.1239345446228981,,
17,2549,,0.15175089240074158,,
17,2573,,,0.765362024307251,1.2403208017349243
17,2573,0.1913032829761505,,,
18,2599,,0.21220815181732178,,
18,2649,,0.20123618841171265,,
18,2699,,0.25820472836494446,,
18,2716,,,0.7622673511505127,1.40542733669281
18,2716,0.1855172961950302,,,
19,2749,,0.22731690108776093,,
19,2799,,0.15024513006210327,,
19,2849,,0.1609455943107605,,
19,2859,,,0.7600231766700745,1.4267672300338745
19,2859,0.18451325595378876,,,
20,2899,,0.19814907014369965,,
20,2949,,0.2701249122619629,,
20,2999,,0.16108648478984833,,
20,3002,,,0.759971559047699,1.4922699928283691
20,3002,0.18162427842617035,,,
21,3049,,0.2221110761165619,,
21,3099,,0.19136658310890198,,
21,3145,,,0.7554482221603394,1.6009234189987183
21,3145,0.17829333245754242,,,
22,3149,,0.23677638173103333,,
22,3199,,0.07981957495212555,,
22,3249,,0.17568136751651764,,
22,3288,,,0.7620030641555786,1.6474500894546509
22,3288,0.1759777069091797,,,
23,3299,,0.1574878692626953,,
23,3349,,0.12573851644992828,,
23,3399,,0.1269688606262207,,
23,3431,,,0.7555411458015442,1.687848448753357
23,3431,0.17404107749462128,,,
24,3449,,0.2213318794965744,,
24,3499,,0.20579597353935242,,
24,3549,,0.19129237532615662,,
24,3574,,,0.7613135576248169,1.7100322246551514
24,3574,0.17278742790222168,,,
25,3599,,0.1386748105287552,,
25,3649,,0.16026699542999268,,
25,3699,,0.13915228843688965,,
25,3717,,,0.7585346698760986,1.6999683380126953
25,3717,0.17196832597255707,,,
26,3749,,0.11986817419528961,,
26,3799,,0.24345126748085022,,
26,3849,,0.1757580041885376,,
26,3860,,,0.759804368019104,1.7568035125732422
26,3860,0.17050299048423767,,,
27,3899,,0.23003485798835754,,
27,3949,,0.19512909650802612,,
27,3999,,0.24511180818080902,,
27,4003,,,0.7594430446624756,1.8263288736343384
27,4003,0.16982761025428772,,,
28,4049,,0.11694297194480896,,
28,4099,,0.12335219979286194,,
28,4146,,,0.7570192813873291,1.8818820714950562
28,4146,0.16896431148052216,,,
29,4149,,0.1636667400598526,,
29,4199,,0.1941826194524765,,
29,4249,,0.16747893393039703,,
29,4289,,,0.7567364573478699,1.8753178119659424
29,4289,0.1683601289987564,,,
