epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,49,,0.6063344478607178,,
0,99,,0.659915566444397,,
0,142,,,0.7677676677703857,0.5482024550437927
0,142,0.602472186088562,,,
1,149,,0.47924715280532837,,
1,199,,0.5526314973831177,,
1,249,,0.6271787881851196,,
1,285,,,0.7700135111808777,0.5520050525665283
1,285,0.5329209566116333,,,
2,299,,0.5177180767059326,,
2,349,,0.624127984046936,,
2,399,,0.5278497338294983,,
2,428,,,0.7859929800033569,0.5392876863479614
2,428,0.4960753619670868,,,
3,449,,0.40203872323036194,,
3,499,,0.5805462002754211,,
3,549,,0.4740295112133026,,
3,571,,,0.7965591549873352,0.5522403120994568
3,571,0.4564482271671295,,,
4,599,,0.3514239490032196,,
4,649,,0.41639602184295654,,
4,699,,0.2793213129043579,,
4,714,,,0.7782951593399048,0.5854786038398743
4,714,0.4176488220691681,,,
5,749,,0.3530923128128052,,
5,799,,0.2847225069999695,,
5,849,,0.28763455152511597,,
5,857,,,0.7816517353057861,0.6147257685661316
5,857,0.3782905042171478,,,
6,899,,0.2900964021682739,,
6,949,,0.4258676767349243,,
6,999,,0.39641278982162476,,
6,1000,,,0.7824797630310059,0.6525953412055969
6,1000,0.3445267975330353,,,
7,1049,,0.29219484329223633,,
7,1099,,0.3118428587913513,,
7,1143,,,0.7635667324066162,0.7216712236404419
7,1143,0.31339675188064575,,,
8,1149,,0.18449071049690247,,
8,1199,,0.3783705234527588,,
8,1249,,0.2571101784706116,,
8,1286,,,0.7717142105102539,0.7085709571838379
8,1286,0.2821134924888611,,,
9,1299,,0.2507373094558716,,
9,1349,,0.24129191040992737,,
9,1399,,0.22003930807113647,,
9,1429,,,0.7696290016174316,0.8620532751083374
9,1429,0.2532433867454529,,,
10,1449,,0.20319770276546478,,
10,1499,,0.2036571204662323,,
10,1549,,0.2031952440738678,,
10,1572,,,0.7673729658126831,0.9113439321517944
10,1572,0.23328305780887604,,,
11,1599,,0.19601473212242126,,
11,1649,,0.301308810710907,,
11,1699,,0.24928826093673706,,
11,1715,,,0.7549352645874023,1.2134764194488525
11,1715,0.21421724557876587,,,
12,1749,,0.18885980546474457,,
12,1799,,0.21749365329742432,,
12,1849,,0.22207319736480713,,
12,1858,,,0.7529578804969788,1.0585428476333618
12,1858,0.20060475170612335,,,
13,1899,,0.2521193027496338,,
13,1949,,0.17526182532310486,,
13,1999,,0.17038530111312866,,
13,2001,,,0.7550857663154602,1.1449692249298096
13,2001,0.18976730108261108,,,
14,2049,,0.15837326645851135,,
14,2099,,0.11614866554737091,,
14,2144,,,0.7505167126655579,1.5169179439544678
14,2144,0.18098953366279602,,,
15,2149,,0.19526389241218567,,
15,2199,,0.15935352444648743,,
15,2249,,0.13834133744239807,,
15,2287,,,0.7488384246826172,1.481624722480774
15,2287,0.1745937019586563,,,
16,2299,,0.21852074563503265,,
16,2349,,0.11412361264228821,,
16,2399,,0.1661941409111023,,
16,2430,,,0.749707043170929,1.4424097537994385
16,2430,0.17034664750099182,,,
17,2449,,0.16658277809619904,,
17,2499,,0.1634199470281601,,
17,2549,,0.20867568254470825,,
17,2573,,,0.7493489980697632,1.635261058807373
17,2573,0.16539505124092102,,,
18,2599,,0.15778498351573944,,
18,2649,,0.1440977305173874,,
18,2699,,0.15853258967399597,,
18,2716,,,0.7516457438468933,1.575721263885498
18,2716,0.16280312836170197,,,
19,2749,,0.15055736899375916,,
19,2799,,0.15642568469047546,,
19,2849,,0.23560795187950134,,
19,2859,,,0.7559341192245483,1.6095287799835205
19,2859,0.16083933413028717,,,
20,2899,,0.20679974555969238,,
20,2949,,0.2049492597579956,,
20,2999,,0.2594446837902069,,
20,3002,,,0.7523618340492249,1.7163054943084717
20,3002,0.1590106189250946,,,
21,3049,,0.17846742272377014,,
21,3099,,0.20781338214874268,,
21,3145,,,0.7533525228500366,1.8352707624435425
21,3145,0.15572993457317352,,,
22,3149,,0.15913629531860352,,
22,3199,,0.12431018799543381,,
22,3249,,0.15891656279563904,,
22,3288,,,0.749847412109375,1.8518866300582886
22,3288,0.15424953401088715,,,
23,3299,,0.22214588522911072,,
23,3349,,0.12450957298278809,,
23,3399,,0.21889090538024902,,
23,3431,,,0.7571892738342285,1.8090465068817139
23,3431,0.15314628183841705,,,
24,3449,,0.14246214926242828,,
24,3499,,0.1260765641927719,,
24,3549,,0.0956929624080658,,
24,3574,,,0.7507221698760986,1.9031366109848022
24,3574,0.15204490721225739,,,
25,3599,,0.16765791177749634,,
25,3649,,0.1254434585571289,,
25,3699,,0.11229643225669861,,
25,3717,,,0.7521848678588867,2.021357536315918
25,3717,0.15165136754512787,,,
26,3749,,0.10166984796524048,,
26,3799,,0.1569400131702423,,
26,3849,,0.15162762999534607,,
26,3860,,,0.7523150444030762,2.013153553009033
26,3860,0.15068379044532776,,,
27,3899,,0.1933455765247345,,
27,3949,,0.15364322066307068,,
27,3999,,0.14156559109687805,,
27,4003,,,0.74993896484375,2.1203224658966064
27,4003,0.14985644817352295,,,
28,4049,,0.19705671072006226,,
28,4099,,0.1617383360862732,,
28,4146,,,0.7513202428817749,2.180302858352661
28,4146,0.1489068865776062,,,
29,4149,,0.13387800753116608,,
29,4199,,0.1426984816789627,,
29,4249,,0.1563509851694107,,
29,4289,,,0.7505797743797302,2.1136393547058105
29,4289,0.14861035346984863,,,
